# timestamps [seconds],pts
-549120.047098,659767
-549120.037483,660397
-549120.026613,661110
-549120.016074,661800
-549120.008055,662326
-549119.997264,663033
-549119.983916,663908
-549119.974688,664513
-549119.964045,665210
-549119.955601,665763
-549119.945467,666428
-549119.935593,667075
-549119.924345,667812
-549119.914163,668479
-549119.907248,668932
-549119.896366,669645
-549119.884671,670412
-549119.874941,671050
-549119.865071,671696
-549119.859320,672073
-549119.853144,672478
-549119.842030,673206
-549119.833912,673738
-549119.824427,674360
-549119.819459,674686
-549119.811282,675221
-549119.803466,675734
-549119.795459,676258
-549119.787429,676785
-549119.779469,677306
-549119.771407,677835
-549119.763387,678360
-549119.754190,678963
-549119.743391,679671
-549119.735490,680188
-549119.727394,680719
-549119.715506,681498
-549119.707525,682021
-549119.697336,682689
-549119.688925,683240
-549119.679850,683835
-549119.672046,684346
-549119.662495,684972
-549119.655435,685435
-549119.649055,685853
-549119.639841,686457
-549119.632176,686959
-549119.621961,687629
-549119.613246,688200
-549119.590386,689698
-549119.582315,690227
-549119.575435,690678
-549119.567486,691199
-549119.559431,691726
-549119.550963,692281
-549119.542598,692830
-549119.535307,693307
-549119.525170,693972
-549119.518005,694441
-549119.507672,695118
-549119.500934,695560
-549119.491446,696182
-549119.482241,696785
-549119.475524,697225
-549119.467461,697754
-549119.459450,698279
-549119.451455,698803
-549119.443450,699327
-549119.435364,699857
-549119.427483,700374
-549119.419424,700902
-549119.407483,701684
-549119.399461,702210
-549119.391437,702736
-549119.381651,703377
-549119.371199,704062
-549119.361758,704681
-549119.351199,705373
-549119.343414,705883
-549119.335461,706404
-549119.323318,707200
-549119.312925,707881
-549119.305949,708338
-549119.299393,708768
-549119.291202,709305
-549119.283421,709815
-549119.275421,710339
-549119.264561,711051
-549119.259437,711387
-549119.251446,711910
-549119.239456,712696
-549119.229866,713325
-549119.218381,714077
-549119.213747,714381
-549119.202186,715139
-549119.191434,715843
-549119.183527,716361
-549119.175479,716889
-549119.167486,717413
-549119.155453,718201
-549119.147454,718725
-549119.139435,719251
-549119.131415,719777
-549119.123427,720300
-549119.115445,720823
-549119.107413,721349
-549119.097610,721992
-549119.088657,722579
-549119.078108,723270
-549119.071454,723706
-549119.063452,724230
-549119.055452,724755
-549119.047477,725277
-549119.039474,725802
-549119.031453,726328
-549119.023447,726852
-549119.015437,727377
-549119.007509,727897
-549118.999401,728428
-549118.987446,729212
-549118.979415,729738
-549118.971362,730266
-549118.963431,730785
-549118.955188,731326
-549118.947440,731833
-549118.936640,732541
-549118.906576,734511
-549118.900226,734927
-549118.895465,735239
-549118.887467,735764
-549118.879464,736288
-549118.871465,736812
-549118.863470,737336
-549118.855482,737860
-549118.847426,738388
-549118.839484,738908
-549118.831411,739437
-549118.819457,740221
-549118.811475,740744
-549118.803403,741273
-549118.795462,741793
-549118.785467,742448
-549118.779407,742845
-549118.771444,743367
-549118.763376,743896
-549118.755445,744416
-549118.747365,744945
-549118.735296,745736
-549118.727463,746249
-549118.719388,746779
-549118.711455,747299
-549118.703408,747826
-549118.695448,748348
-549118.687438,748873
-549118.679446,749396
-549118.671448,749920
-549118.662589,750501
-549118.651378,751236
-549118.641250,751899
-549118.635454,752279
-549118.627134,752825
-549118.619414,753330
-549118.610679,753903
-549118.603383,754381
-549118.595382,754905
-549118.587415,755428
-549118.577528,756075
-549118.567456,756736
-549118.557550,757385
-549118.549728,757897
-549118.540799,758483
-549118.533317,758973
-549118.523509,759616
-549118.515908,760114
-549118.506592,760724
-549118.498677,761243
-549118.488929,761882
-549118.483446,762241
-549118.475191,762782
-549118.467376,763294
-549118.459439,763814
-549118.448787,764513
-549118.438902,765160
-549118.426126,765998
