timestamp,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_pupil_validity,right_pupil_validity
1698048214641,"(0.569754361490502, 0.6866586022473015)","(nan, nan)",3,0
1698048214657,"(0.5683437483261887, 0.6783430031887017)","(nan, nan)",3,0
1698048214672,"(0.5696903143799621, 0.6851843540861238)","(nan, nan)",3,0
1698048214689,"(0.5696175053950802, 0.6667292483631969)","(nan, nan)",3,0
1698048214707,"(0.5764974746624468, 0.6382735121895767)","(nan, nan)",3,0
1698048214722,"(0.5712256430195085, 0.653060742803524)","(nan, nan)",3,0
1698048214736,"(nan, nan)","(nan, nan)",0,0
1698048214754,"(nan, nan)","(nan, nan)",0,0
1698048214772,"(0.5168403330121084, 0.6285043420949403)","(nan, nan)",3,0
1698048214787,"(nan, nan)","(nan, nan)",0,0
1698048214805,"(0.5198550430676407, 0.7083405739474681)","(nan, nan)",3,0
1698048214819,"(0.5266551154406753, 0.7372777476616863)","(nan, nan)",3,0
1698048214836,"(nan, nan)","(nan, nan)",0,0
1698048214854,"(0.5182625644956922, 0.7219834645610707)","(nan, nan)",3,0
1698048214869,"(0.5201710904649589, 0.7306289717805033)","(nan, nan)",3,0
1698048214883,"(0.5592169734127651, 0.6726361166497659)","(nan, nan)",3,0
1698048214901,"(0.5579756409480119, 0.5895825858480489)","(nan, nan)",3,0
1698048214916,"(0.551517902942387, 0.6331483626788634)","(nan, nan)",3,0
1698048214933,"(0.5493055086246734, 0.6165643824742995)","(nan, nan)",3,0
1698048214948,"(0.5496515824266578, 0.5884169514949471)","(nan, nan)",3,0
1698048214966,"(0.5442493177526917, 0.618331813753149)","(nan, nan)",3,0
1698048214981,"(0.5477590307747617, 0.6232795103242188)","(nan, nan)",3,0
1698048214998,"(0.5499254826496216, 0.6245435924820969)","(nan, nan)",3,0
1698048215013,"(0.5515437420860414, 0.6451552914958568)","(nan, nan)",3,0
1698048215031,"(0.5535563711602656, 0.6592555477730276)","(nan, nan)",3,0
1698048215045,"(0.5529739928743327, 0.6882797505811232)","(nan, nan)",3,0
1698048215063,"(0.5571157315696537, 0.673692810328617)","(nan, nan)",3,0
1698048215078,"(nan, nan)","(nan, nan)",0,0
1698048215096,"(0.5493267544452871, 0.6678834640053999)","(nan, nan)",3,0
1698048215111,"(nan, nan)","(nan, nan)",0,0
1698048215128,"(0.5530374717469114, 0.6346185988605362)","(nan, nan)",3,0
1698048215143,"(nan, nan)","(nan, nan)",0,0
1698048215160,"(nan, nan)","(nan, nan)",0,0
1698048215178,"(nan, nan)","(nan, nan)",3,0
1698048215192,"(nan, nan)","(nan, nan)",0,0
